entry,language,meaning_1,meaning_2,mark,split
фæстагмæ,Osetian,напоследок в заключение к концу,наконец,0,test
əksinə,Azeri,напротив наперекор идти наперекор,в наоборот напротив в противоположность сказанному он никогда не опаздывает на работу наоборот приходит раньше всех в противоположность вопреки к ому чему вопреки ожиданиям ожидаемому,0,test
аваслы,Nogai,желающий,жаждущий,0,test
φύσις,Ancient greek,природные свойства природа характер,создание творение существо тварь,1,test
ка́ра,Botlih,проволока,верёвка,1,test
амаст,Osetian,сделать горьким,погоревать,1,test
ngasemuva,Zulu,назад обратно,п сле потом,1,test
кайнав,Nogai,кипеть,кипение бурление,0,test
izšaut,Latvian,выстрелить выпалить,прострелить простреливать,0,test
փչել,Armenian,Дуть подуть дунуть,Надувать надуть раздувать раздуть,0,test
серпуьв,Nogai,опрыскивать обрызгивать,выливать выплёс кивать,0,test
1),Nogai,освобождение увольнение напр с работы,освобождение избавление,0,test
δοῦλος,Ancient greek,рабский невольничий,подневольный зависимый,0,test
սուս,Armenian,Молча,Молчаливый,0,test
köməksiz,Azeri,беспомощный,без чьей л помощи работать без чьей л помощи,0,test
гьи́,Botlih,повышение,подъём,1,test
svæve,Danish,парить в небе плыть по небу планировать,легко и бесшумно идти,1,test
га́ндир,Botlih,притяжение,мера веса,1,test
militarizm,Azeri,милитаризм,милитаристический милитаристическая политика,0,test
ἀσίνη,Ancient greek,город дриопов в Арголиде,прибрежный город в Лаконии,0,test
opstøve,Danish,нападать на след,разыскивать,0,test
frisk,Danish,свежий,здоровый бодрый,1,test
kalbėtis,Lithuanian,разговаривать,беседовать,0,test
ацъæл,Osetian,поломать сломать,раздавить,0,test
раттын,Osetian,дать выдать отдать,подать,0,test
շահատակություն,Armenian,Нападение,Набег,0,test
εἰσαγγέλλω,Ancient greek,возвещать докладывать о чьём л приходе,докладывать уведомлять извещать,0,test
διακύπτω,Ancient greek,высовываться в окно,выглядывать наружу,0,test
кiанцiа́й,Botlih,набить,надколоть,0,test
for,Norwegian,вести себя держатьс себя,четыре к,0,test
griljere,Norwegian,обжаривать итьа в сухарях,жаритьа за под на гриле,0,test
švaistyti,Lithuanian,"раскидывать, разбрасывать",расточать,1,test
rødmeldeml,Norwegian,краснеть по становиться стать красным,редк окрашивать сить в красный цвет,0,test
kviestinis,Lithuanian,понятой,званый,1,test
esgeulusaf,Welsh,"to neglect, disregard","overlook, excuse, forget, ignore",0,test
brathedig,Welsh,"bitten, wounded, stabbed, pierced, torn","biting, shooting, aching (of pain), also fig",0,test
суьюв,Nogai,в рази любить,любовь уважение,0,test
italaidd,Welsh,Italian,"italic (of type, also of handwriting)",1,test
ἠρεμέω,Ancient greek,оставаться в покое покоиться находиться в состоянии покоя,быть спокойным,0,test
κρατύνω,Ancient greek,укреплять усиливать,владеть обладать,1,test
хурсыгъд,Osetian,сожжённый солнцем выжженный,загорелый о теле,0,test
fortetning,Norwegian,сжижение конденсация да,сгущение уплотнение,0,test
utro,Danish,неверный жене,ненадёжный вероломный,1,test
priekša,Latvian,перед передняя часть р перёд платья,передок,0,test
sturten,Norwegian,стрижка,редк наряд,0,test
işləmək,Azeri,работать,отделывать отделать снабжать снабдить какими л украшениями отделать перламутром что,0,test
sakaza,Zulu,разбрасывать рассеивать семена,распространять сведения слухи вести радио и телетрансляцию наносить решающий удар,1,test
eurgylch,Welsh,"gold or golden circle, hoop, or ring, also fig.","halo, aureole (in astron.)",1,test
адаскан,Nogai,заблудившийся,прям сбившийся с правильного пути,1,test
yde,Danish,оказывать,выполнять делать вносить,0,test
šiurpas,Lithuanian,дрожь,ужас,1,test
puns,Latvian,шишка желвак,нарост,0,test
bagvendt,Danish,обратный оборотный,превратный,0,test
աշնանամուտ,Armenian,Начало осени,Первый осенний день,0,test
καταψύχω,Ancient greek,охлаждать,освежать,0,test
dæmpe,Danish,ослаблять понижать глушить приглушать,подавлять,0,test
granat,Danish,гранат минерал,снаряд граната,1,test
anker,Norwegian,якорь,(rommål) hist «анкер» (мера жидких тел в Норвегии ок. 386 л),0,test
sürü,Azeri,стадо,пренебр большая неорганизованная группа людей толпа стадо людей пришли стадом,1,test
mozalan,Azeri,овод двукрылое насекомое личинки которого паразитируют на теле животных лошадиный овод овечий овод,оводовый оводовая болезнь бежать как угорелый,0,test
адих,Osetian,отрезать,разделить поделить,0,test
hun,Danish,самка,существо женского пола,0,test
институт,Nogai,предугадывать,толкование напр снов,0,test
noliet,Latvian,отлить отливать слить сливать,облить обливать залить заливать,0,test
izlobīt,Latvian,вылущить вылущивать вылущить горох,перен понять уразуметь,1,test
brændende,Danish,жгучий горячий,актуальный насущный,1,test
brændpunkt,Danish,фокус в физике,средоточие центр,0,test
йорылув,Nogai,предугадываться,толковаться,0,test
սեղմել,Armenian,Сжимать сжать,Нажимать нажать,0,test
սրտագին,Armenian,Сердечный задушевный,Сердечно задушевно,0,test
attapties,Latvian,приходить в себя,спохватываться,0,test
ануд,Osetian,задохнуться от недостатка воздуха,сделаться затхлым,0,test
kausēt,Latvian,плавить,топить,1,test
bhenyeka,Zulu,сидеть в неприличной позе с поднятыми коленями,сидеть в ленивой позе развалившись,0,test
nostumt,Latvian,столкнуть сдвинуть спихнуть,отодвинуть оттолкнуть,0,test
varniškas,Lithuanian,вороний,как у вороны,0,test
магыт,Nogai,разные бумаги,разные документы,0,test
drukne,Danish,утопить,утонуть,0,test
vəkil,Azeri,адвокат,представитель лицо представляющее чьи л интересы,0,test
би́,Botlih,засыхание высыхание,умолкание,1,test
ма́шхъел,Botlih,ремесло профессия,опыт,1,test
ἀκήλητος,Ancient greek,неподвластный чарам,не очарованный не завороженный,0,test
цiцiо́йав,Botlih,женоподобный,трусливый,1,test
хицау,Osetian,хозяин хозяйка,свёкор,1,test
սերել,Armenian,Давать жизнь плодить,Сепаратор,0,test
чiирди́,Botlih,ободрать собрать о фруктах,щипать отделять,0,test
in-hliziyo,Zulu,сердце,средоточие чувств переживаний надежда желание,1,test
ныххырхын,Osetian,попилить,оцарапать,0,test
nesąmonė,Lithuanian,бессмыслица,нелепость,0,test
ἀριστεύς,Ancient greek,лучший знатнейший славнейший доблестный,знатный гражданин знать,0,test
хъуыдыгæнаг,Osetian,догадливый,сообразительный,0,test
hun,Norwegian,она,(for litt siden) только что:,0,test
hårdkogt,Danish,сваренный вкрутую,грубый циничный,1,test
hlasela,Zulu,начинать военные действия нападать,охотиться,1,test
схæмпæл,Osetian,запустить поле дать зарасти бурьяном сорняками,разлохматить,0,test
dwyseiddiaf: dwyseiddio,Welsh,"to sober, make serious or earnest, become serious","deepen (conviction, impression, &c.)",1,test
séter,Norwegian,высокогорное пастбище сетера сэтэ в Норвегии жить на сетере,домик о а а хуторо а на высокогорном пастбище сетере,0,test
пискен,Nogai,варёный печёный сварившийся,спелый зрелый о фруктах ягодах,1,test
иппæрддзинад,Osetian,отвлечённость,разлука,0,test
umu-zwa,Zulu,чувство,нерв,1,test
ашув,Nogai,открывать раскрывать отпирать отворять растворять,откупоривать раскупоривать,0,test
atknoti,Lithuanian,отдирать,обдирать,0,test
τελετή,Ancient greek,обряд посвящения посвящение в таинства,празднество торжество,0,test
réke,Norwegian,плытьд епг по течению,слоняться болтаться,1,test
етуьв,Nogai,хватать быть достаточным,доходить доезжать,1,test
агурын,Osetian,искать отыскивать разведывать разыскивать,добиваться,0,test
triẃriaeth,Welsh,triumvirate,triumvir,0,test
izceļot,Latvian,переселиться переселяться эмигрировать,объехать объезжать объехать весь свет,0,test
թավ,Armenian,Густой,Густой полнозвучный низкий о голосе,1,test
անշաղախ,Armenian,Сухой без раствора о кладке сухая кладка,Беспримесный,0,test
εὔοδος,Ancient greek,дающий свободный проход легко проходимый,удобопроходимый удобный,0,test
styring,Norwegian,управлёние контроль,управлёние совокупность приборов,0,test
гьикьи́,Botlih,выговор качество или характер произношения,высказывание,0,test
алат,Nogai,инструмент,обеспечивать деталями влатланув алатлан,0,test
joyina,Zulu,становиться рабочим по контракту добровольцем в армии,соединять,0,test
vykdyti,Lithuanian,исполнять,выполнять,0,test
maengrair,Welsh,"stone relic or treasure, transf.",?stone fortification,0,test
gqoka,Zulu,быть покрытым,одеваться,1,test
vumelana,Zulu,соглашаться друг с другом быть во взаимном согласии,подходить соответствовать,1,test
tepper,Norwegian,закрывать закрыть заслонять итьЬ с прикрывать при,совпадать совпасть с чем л быть тождественным г эти понятия однозначны,0,test
vennlig,Norwegian,располагающий приятный уютный,любезность одолжёние,0,test
լուսավառ,Armenian,Ярко освещенный озарённый светом,Ярко сияющий излучаюший свет,0,test
tutdurmaq,Azeri,просить заставить кого л держать подержать что л просить кого подержать вещи,просить заставить заводить завести просить завести журнал просить завести дневник,0,test
ἐλαύνω,Ancient greek,гнать погонять,повышать доводить,1,test
hamar,Azeri,гладкий,прямой не вьющийся приглаженный гладкие волосы,0,test
б=ечіу́да,Botlih,порожняком,бесплатно,1,test
addatmaq,Azeri,переносить перенести перенести мешки через канаву,переправлять переправить переправлять через реку,0,test
vilkt,Latvian,тянуть тащить волочить тянуть проволоку тянуть жребий подтягивать буксировать,безл сквозить сильно сквозит,0,test
pagarinājums,Latvian,удлинение продолжение р удлинение провода,отсрочка продление р отсрочка платежа,0,test
ἀδιάφθορος,Ancient greek,неиспорченный,непреходящий нетленный,0,test
dezertir,Azeri,дезертир,самовольно покинувший свою войсковую часть или уклонившийся от призыва на военную службу,0,test
mine,Danish,мина выражение лица,мина в военом деле,1,test
nukaisti,Lithuanian,вспотеть,покраснеть,0,test
tikiş,Azeri,шитьё,место скрепления деталей сооружений сварочный шов проковка швов,0,test
кавсырув,Nogai,складывать руки крест накрест,прикрывание напр двери,0,test
glatte,Danish,ровнять,гладить,0,test
æркæсын,Osetian,присмотреться,прочитать,0,test
achreth,Welsh,"fever, a shivering, tremor, also fig","fright, terror, fear, dread",1,test
ապակենտրոնացում,Armenian,Децентрализация децентрализация власти,Рассредоточение рассредоточение средств,0,test
høflig,Norwegian,вежливость учтивость,любезность,0,test
προβάδην,Ancient greek,двигаясь вперед на ходу,вперед,0,test
pram,Norwegian,плоскодонка,барка,0,test
ubehersket,Danish,несдержанно,невыдержанный несдержанный,0,test
сак,Nogai,бдительный осторожный неопромётчивый,чуткий бережный негрубый,0,test
transport,Norwegian,перевозка транспортировка транспортирование,юр перевод долга на другое лицо передача обязательства по погашению кредита другому лицу,0,test
ануд,Osetian,задушить удушить,задохнуться от недостатка воздуха,0,test
енъиллев,Nogai,облегчать делать лёгким по весу,облегчение упрощение,0,test
buffet,Danish,буфетная стойка стол с закусками накрываемый на приёмах,буфет сервант горка,0,test
кагув,Nogai,вбивать вколачивать,стучать стучаться,0,test
ми́,Botlih,хвост в т ч самолёта,одеть,0,test
ysmaliaf,Welsh,"to joke, jest","pretend, fake, feign",1,test
apsireikšti,Lithuanian,объявиться,обнаружиться,0,test
маси́,Botlih,изложить описать высказать,попрекать,0,test
mant,Welsh,mouth,lip,1,test
botasen,Welsh,сапог,один из поножей,0,test
anmeldelse,Danish,объявление извещение заявление в полицию,рецензия,0,test
sekimas,Lithuanian,"слежка, выслеживание",подражание,1,test
ххира́,Botlih,дорогой покупаемый по высокой цене,дорогой родной,1,test
cild,Azeri,обложка переплёт,обложечный переплётный обложечная переплетная бумага обложечный картон,0,test
i-bizelo,Zulu,вызов призыв,призвание,1,test
in-khoxe,Zulu,одноглазый человек,дыра,1,test
εἰκός,Ancient greek,нечто разумное справедливое,против ожидания,0,test
is-ethulo,Zulu,подношение подарок,место для исповеди исповедальня,1,test
trekk,Norwegian,тягаа,перелёт птиц,1,test
æнувыд,Osetian,старательный внимательный усердный прилежный рьяный ревностный,расположенный,0,test
уаргъæвæрд,Osetian,навьюченный нагруженный,обременённый,0,test
ἀμυδρός,Ancient greek,неясный смутный слабый,неотчетливый неразборчивый,0,test
ysigaf,Welsh,"to sprain, wrench, strain, bruise, hurt, injure, damage, press, crush, break, shatter, deform, weaken, (cause to) sag, collapse","to crush (to a powder or pulp), grind, pound, mortar, mash, press (fruit), bruise",0,test
хъазæн,Osetian,игрушка,шутка,1,test
αὐτόματος,Ancient greek,самодействующий самодвижущийся,естественный природный,1,test
ἐγκυκλόω,Ancient greek,обводить кругом,обвивать,0,test
sekls,Latvian,только мн следствие последствие последствия последствия болезни нести последствия отвечать за последствия,мелкий неглубокий,0,test
аивдзинад,Osetian,красота,художественность,0,test
алув,Nogai,брать взять,выступает в качестве вспомогатель ного глагола бара алмайман я не могу пойти,0,test
dicter,Welsh,"anger, wrath, ire, displeasure","grief, sorrow",1,test
drage,Danish,дракон,двигаться ездить,0,test
um-hiba,Zulu,дело,отдел,0,test
abipusiškumas,Lithuanian,обоюдность,взаимность,0,test
тiикiе́лалъи,Botlih,щёлкать давать щелчки,тикать о часах,0,test
azacıq,Azeri,малый небольшой небольшая трудность,кратковременный после кратковременного отдыха,0,test
æууæнк,Osetian,доверие,честность,0,test
бегьикiа́б,Botlih,можно,вероятно может быть,0,test
brygge,Danish,набережная причал,заваривать чай кофе приготовлять пунш,0,test
ама́нат,Botlih,зарок обет,поручение,0,test
raizgyti,Lithuanian,плести,вязать,1,test
актарув,Nogai,шарить обшаривать рыться в кисе актарув шарить в карманах,выворачивание напр кармана,0,test
reference,Danish,ссылка упоминание,рекомендация,0,test
nodegt,Latvian,сгореть сгорать,загореть загорать,1,test
dropp,Norwegian,выброска с воздуха,вбрасывание мяча шайбы после остановки игры,0,test
քոսոտ,Armenian,Чесоточный,Прокажённый,0,test
му́ххи,Botlih,про копать отвалить землю делать углубление,ковырять,0,test
на́слу,Botlih,род семейство потомство,поколение,0,test
chwythaf: chwythu,Welsh,to blow,breathe,1,test
ասպետ,Armenian,Рыцарь,Поклонник рыцарь,0,test
undergjeming,Norwegian,подпочва,преступный мирс,1,test
bitter,Danish,горькая настойка,горький,0,test
çöl,Azeri,степь обширное безлесное ровное с травянистой растительностью пространство в полосе сухого климата каналы и лесонасаждения преобразили южные степи степи Мугани,поле,0,test
pagauti,Lithuanian,словить,овладевать,0,val
ὄρρος,Ancient greek,зад или копчик,у птиц гузка,0,val
гiоло́хъани,Botlih,молодеть,о молодиться,0,val
cwplws,Welsh,"couple, coupling, brace",coupled or joined together,0,val
լիդր,Armenian,Мера веса сыпучих тел в,или,0,val
sučiulbėti,Lithuanian,зачирикать,защебетать,0,val
amgylchiad,Welsh,"(often pl.) circumstance, situation, case, condition, event, occasion","circle, a circling, circuit, compass, circumference, periphery, edge, also fig.",1,val
plastikk,Norwegian,пластика пластическое искусство,пластичность пластика,0,val
thela,Zulu,лить наливать,поддаваться,1,val
аьдепсизленуьв,Nogai,поступать непристойно,становиться безнравственным распущенным,0,val
ilgas,Latvian,тоска тоска по родине,чаяния,0,val
gal,Danish,ошибочный неправильный,злой сердитый,1,val
prieauglis,Lithuanian,прирост,молодняк,0,val
um-meli,Zulu,представитель,юрист,0,val
дзæгь-дзæгъ,Osetian,побрякивание,болтать,1,val
frakende,Danish,лишать,отказывать комул в чемл,0,val
blogas,Lithuanian,плохой,слабый,1,val
фæкæрдын,Osetian,жать,кроить,0,val
ciešs,Latvian,плотный приставить шкаф плотно к стене,неразрывный,0,val
биххи́,Botlih,разрушиться,порваться,0,val
sırtıqlıq,Azeri,крайнее бесстыдство беззастенчивость бесцеремонность,нахальный наглый поступок это нахальство нахальничать поступать поступить нагло нахально,0,val
ude,Danish,вне дома не на работе,там,0,val
мæрдкъах,Osetian,кладбищенский вор,перен лгун,1,val
pinnaf2: pinno,Welsh,to become mouldy and lumpy (of flour),heat up and deteriorate (of wheat),0,val
акшалы,Nogai,имеющий деньги денежный богатый о человеке,платный,0,val
təkbaşınalıq,Azeri,единоначалие система управления при которой всё руководство сосредоточено в руках одного лица единоначалие в хозяйственном руководстве,единоличность,0,val
qeyri-elastik,Azeri,неэластичный,неупругий неупругое тело неупругое рассеивание гидравл неупругая жидкость,0,val
mediantml,Norwegian,учебные пособия мн с аудиовизуальные средства мн с обучения,кабинет с учебными пособиями вспомогательными средствами обучения фильмами плакатами и т п аг ответственный за учебные пособия вспомогательные средства обучения,0,val
stienis,Latvian,слиток серебро в слитках,стержень штанга,0,val
udbrud,Danish,внезапное начало вспышка войны,извержение вулкана,1,val
mercher,Welsh,Wednesday,Mercury (Roman messenger of the gods),1,val
steinflue,Norwegian,без камнёй,бессердёчный бездушный с каменным сёрдцем,0,val
dække,Danish,покров покрывало,закрывать скрывать,0,val
mukeleka,Zulu,быть приемлемым приятным,увлекаться отвлекаться на сторону,0,val
døye,Norwegian,переживать житьд ать что л тяжёлое неприятное он пережил испытал много горя он натерполся горя,терпоть по что л потерпоть поражёние неудачу еп разг грош,0,val
кагув,Nogai,вбивать вколачивать,стря хивание вытряхивание напр пыли снега,0,val
ποινή,Ancient greek,выкуп,освобождение,1,val
effekt,Danish,личные вещи движимость,действие воздействие,0,val
vads,Latvian,провод электрические провода,невод,1,val
акырынлык,Nogai,медленностьдвижения,медлительность,0,val
νέκυς,Ancient greek,мертвый умерший,мертвое тело труп,0,val
քող,Armenian,Вуаль,разоблачить,0,val
սեղմում,Armenian,Сжимание,Зажатие зажимание зажим,0,val
хæтаг,Osetian,бродячий,кочевник,0,val
ссе,Botlih,ранее,до перед,0,val
cīpsla,Latvian,сухожилие,жила,0,val
τιθηνέομαι,Ancient greek,кормить грудью,няньчить ласкать,1,val
pintinė,Lithuanian,корзина,плетенка,0,val
dalğıc,Azeri,водолаз,нырок водоплавающая птица из гусиных белоглазый нырок красноголовый нырок красноносый нырок хохлатый нырок,1,val
-mnyama,Zulu,ч рный,зловещий пугающий,1,val
ныззаууат,Osetian,опустошить разрушить,погубить,0,val
angrep,Norwegian,нападёние,нападать Мнапасть подвергать подвёргнуть нападкам критике,0,val
планласув,Nogai,помогать в планировании планировать вместе,помогать делать разбивку планировку че го л,0,val
mfddagsavis,Norwegian,от полуденная высота,зенит апогей,1,val
παρασκευή,Ancient greek,изготовление приготовление,обстановка устройство имущество,0,val
petring,Norwegian,петрификация,четвёртая часть кирпича,0,val
планлатув,Nogai,велеть заставлять поручать планировать,велеть заставлять поручать делать разбивку напр сада,0,val
ἀναίσθητος,Ancient greek,бесчувственный нечувствительный невосприимчивый,неощущаемый безболезненный,0,val
ὁμιλέω,Ancient greek,быть связанным с кем л вращаться в чьём л кругу общаться быть близким,собираться толпиться сгрудиться,0,val
pārvilkt,Latvian,перетянуть перетягивать перетащить перетаскивать,обтянуть обтягивать р обтянуть,0,val
цiцiу́нкiкiир,Botlih,макушка,остриё,1,val
led,Danish,сустав,соединение стык,0,val
фæцæрдæг,Osetian,оживить,оживиться,0,val
cepināt,Latvian,жарить поджаривать,разг печь палить,0,val
kvarter,Danish,четверть часа,фаза луны,0,val
тыххæй,Osetian,ради из за вследствие,о относительно,0,val
κεδάννυμι,Ancient greek,рассеивать разгонять,накидывать,0,val
ἀρμονία,Ancient greek,скрепление связь,паз щель,0,val
zərifanə,Azeri,нежно нежно обращаться,нежный нежный ребёнок нежные слова,0,val
atšvaitas,Lithuanian,отсвет,рефлектор,0,val
bede,Danish,просить,молиться,1,val
bager,Danish,пекарь,пекарня,0,val
in-gonyama,Zulu,крупное хищное животное лев леопард,титул верховного вождя короля зулусов,1,val
eftersyn,Danish,осмотр освидетельствование,просмотр рассмотрение,0,val
рабадын,Osetian,рассесться,приподняться встать с посте ли,0,val
при,Zulu,направительная обозначающая действие направленное на объект суффикс нести относить куда то или кому то,каузативная заставительная имеющая значение заставить делать вызывать действие суффикс пить поить,0,val
roglyd,Welsh,"mischievous, roguish",?rogue-like,0,val
tvatyti,Lithuanian,колотить,хлестать,0,val
алув,Nogai,брать взять,вычитать отнимать,1,val
бауадзын,Osetian,пустить впустить,впрыснуть,0,val
prisirašyti,Lithuanian,приписываться,прикрепляться (к организации),0,val
izšķilties,Latvian,брызнуть,вылупиться вылупляться вывестись выводиться,1,val
dzelžains,Latvian,железистый железистая вода,железный,0,val
ὀπώδης,Ancient greek,похожий по своим свойствам на фиговый сок действующий как закваска,сочный,0,val
fåtte,Norwegian,хватать схватить,от ф мне это совершенно непонятно,1,val
imødegåelse,Danish,противоречие,опровержение оспаривание,0,val
piršti,Lithuanian,сватать,навязывать,1,val
immoral,Azeri,не считающийся с нравственными нормами не признающий их безнравственный,вызванный безнравственностью имморальный поступок,0,val
ukuba,Zulu,союз ч что,союз ч потому что так как,0,val
kārta,Latvian,слой верхний слои земли,ист сословие купеческое сословие,1,val
is-esulelo,Zulu,коврик для ног мат у порога,тот на кого сваливают все грехи козел отпущения,1,val
отын,Nogai,долбить выдалбливать делать углубление прорубать пробивать отверстие,вырезывание полукругом выемкой,0,val
bona,Zulu,видеть замечать,понимать обнаруживать,1,val
аьлсизлик,Nogai,слабость немощность бессилие,бедность,1,val
-совм,Nogai,помогать вязать связывать помогать привязывать,помогать обвязывать перевязывать,0,val
nez,Latvian,неизвестно как знать вряд ли навряд ли неизвестно о чём они говорят он навряд ли придёт,неведомо где неизвестно где,0,val
numatyti,Lithuanian,предвидеть,наметить,0,val
riktelėjimas,Lithuanian,крик,окрик,0,val
ἐπισταθμεύω,Ancient greek,быть размещенным на постой быть расквартированным размещаться,занимать наполнять утомлять,0,val
παρά,Ancient greek,от со стороны,рядом с возле близ у,0,val
mastig1,Welsh,mastic (gum),mastic (liquor),0,val
başıpapaqlı,Azeri,с папахой на голове в папахе,лицо мужского пола мужчина он теперь единственный мужчина в этом доме,1,val
атар,Osetian,заставить померкнуть,уничтожить,1,val
ձեվակերպություն,Armenian,Оформление,Формулировка,0,val
kəsik,Azeri,обрез отрез место по которому обрезано или отрезано что л,прорез прорезанное место,0,val
ténløs,Norwegian,глухой,тусклый бесцветный о голосе,1,val
փառավորություն,Armenian,Прославление,Почести,0,val
агурæг,Osetian,ищущий отыскивающий разыскивающий,проситель,0,val
blaenbren,Welsh,"chief tree or timber, also fig. chief support, chief","good luck or fortune, privilege gained because the tip of the staff used for drawing lots falls towards one",1,val
atmetinėti,Lithuanian,отбрасывать,отклонять,1,val
um-gidi,Zulu,праздник,случай,1,val
аласын,Osetian,отвезти,унести,0,val
իսկ,Armenian,Именно,А но же ж а если,0,val
փթթել,Armenian,Распускаться распуститься,Цвести зацвести расцветать расцвести,0,val
dallanmaq,Azeri,ветвиться разветвиться давать дать побеги,усложняться усложниться быть усложнённым,1,val
kattegat,Norwegian,кошачий хвост,дербенник плакунЬ йволистый,1,val
pieturēt,Latvian,остановиться останавливаться автобус останавливается здесь,остановить останавливать,0,val
отлы,Nogai,огненный с огнём,с огоньком,0,val
сыпырув,Nogai,мести подметать,вытирание сгребание напр крошек со стола,0,val
ubu-chopho,Zulu,мозг мозги,умственные способности,1,val
savilkties,Latvian,стянуться стягиваться съёжиться съёживаться,сгуститься сгущаться собраться собираться,0,val
shaya,Zulu,бить ударять,казаться выглядеть,1,val
overgå,Danish,превосходить,случаться,0,val
pryderus,Welsh,тревожный,заботливый,1,val
серескен,Nogai,закостенелый окостенелый,закоченелый,0,val
dartılı,Azeri,натянутый натянутая верёвка,натянутый,0,val
бацiиха́б,Botlih,достающийся получаемый,соединяемый,1,val
бирлестируьв,Nogai,объединять сплачивать,объединение сплачивание,0,val
аьлсиз,Nogai,слабый немощный бессильный,бедный,1,val
պատվազուրկ,Armenian,Бесчестный,Обесчещенный обесчестить обесчеститься,0,val
amgylchiad,Welsh,"(often pl.) circumstance, situation, case, condition, event, occasion","(pl.) circumstances, financial or material condition",0,val
susikimšimas,Lithuanian,теснота,толкотня,0,val
խեժոտ,Armenian,Смолистый,Засмолённый,0,val
trwydded,Welsh,"permission, leave","(papal, &c.) indulgence",0,val
tamp,Danish,плётка плеть,порка,0,val
му́са,Botlih,место местность,край,0,val
bruk),Norwegian,держать,считать счесть,1,val
tālums,Latvian,даль а вдали вдалеке,дальность,0,val
серптируьв,Nogai,велеть заставлять поручать опрыскивать обрызгивать,велеть заставлять поручать выливать вы плёскивать,0,val
кондад,Osetian,производство,построение структура,0,val
funda,Zulu,учиться,читать,1,val
lysne,Danish,светить,проясняться,1,val
հայրենականչ,Armenian,Зов отечества,Зовущий на родину,0,val
sprāgt,Latvian,лопаться,взрываться взорваться,0,val
ուտող,Armenian,Едок,Обжора,0,val
ми́,Botlih,хвост в т ч самолёта,прекратить,0,val
ἐπισκευάζω,Ancient greek,готовить приготовлять,навьючивать,0,val
çeynənilmiş,Azeri,размельченный измятый во рту пережёванное мясо,нудно и неоднократно повторенный пережёванные мысли пережёванный вопрос,1,val
δεσμός,Ancient greek,привязь,связанность скованность,1,val
deşilmək,Azeri,продырявливаться продырявиться быть продырявленным становиться стать дырявым от носки прорываться,прокалываться быть проколотым получить прокол,0,val
šķiest,Latvian,разбрызгать разбрызгивать,тратить растрачивать,1,val
score,Danish,забивать гол,кадрить,0,val
karavīrs,Latvian,коробка короб,банка,0,val
goludogrwydd,Welsh,"wealth, abundance, opulence, affluence",wealthiness,0,val
ūžti,Lithuanian,шуметь,браниться,1,val
lа,Zulu,когда,где,1,val
isi-khwepha,Zulu,ветвь пальмы,сила мощь,1,val
silahlı,Azeri,имеющий оружие снабженный оружием вооруженный отряд вооруженные солдаты,сопровождаемый военными действиями боевыми столкновениями производимый с оружием в руках вооруженная агрессия вооруженное столкновение вооруженная борьба вооруженное восстание,0,val
ysgrif,Welsh,literary essay,"?bill of exchange, cheque",0,val
piekārt,Latvian,подвесить подвешивать привесить привешивать,навесить навешивать,0,val
nådefull,Norwegian,дар божий талант ф он исключительный наглец он нахал каких мало,проявление милости благосклон,0,val
tünd,Azeri,тёмный по цвету близкий к чёрному не светлый тёмный цвет тёмное платье тёмные занавески тёмный лак,резкий,1,val
palaidņoties,Latvian,порой иногда,обыкновенно,0,val
ysgafn1,Welsh,"light (not heavy), also fig","carefree, frivolous, light-hearted, entertaining, popular",1,val
cūkkope,Latvian,свиновод,свинарка,0,val
ձայնակից,Armenian,Подголосочный,Подголосок втора,0,val
асув,Nogai,вешать подвешивать,вешать лишать жизни через повешение,0,val
ταῦτα,Ancient greek,поэтому вот почему,в таком случае ну что ж,0,val
i-cala,Zulu,край кромка,сторона бок,1,val
ἔνδοσις,Ancient greek,ослабление,смягчение ремиссия,0,val
εὐανθής,Ancient greek,покрытый цветами цветущий,о бороде пышный густой,1,val
poker,Norwegian,крупная политическая играЦ ставить по на карту на кон что л разг бесстрастное каменное лицос,играс в покер опасная игра,0,val
šķirt,Latvian,разлучать разъединять,расторгать брак,0,val
æнæихсийгæ,Osetian,неистощимый неиссякаемый,долго носимый,0,val
negativ,Norwegian,отрицательный,отрицательный негативный,0,val
döşəmə,Azeri,пол нижний настил в помещении по которому ходят дощатый пол паркетный пол мраморный пол земляной пол,настил поверхность из досок или другого материала настланного и укрепленного на чём л настил дороги мостовой настил,0,val
salamandr,Azeri,саламандра,в средневековых поверьях дух огня саламандры семейство хвостатых земноводных,0,val
in-cuphe,Zulu,ловушка в прямом и переносном смысле,околоплодная жидкость,1,val
utstudert,Norwegian,оборудование оснащение,принадлежности утварь,0,val
ἐπεργασία,Ancient greek,обработка чужой земли принадлежащей храмам,право взаимного землепользования для граждан соседних государств,0,val
svērt,Latvian,вешать взвешивать,весить рыба весит два килограмма,0,val
markavuran,Azeri,маркировальный маркировочный маркировальная машина,маркировщик,0,val
disjunksjon,Norwegian,разделёниеа противопоставлёние,дизъюнкция,0,val
батпак,Nogai,топь болото,грязь слякоть,1,val
çənbər,Azeri,обруч,обод,0,val
аьлеклев,Nogai,портить повреждать,порча повреждение,0,val
diafraqma,Azeri,диафрагма,диафрагмовый диафрагмовый насос,0,val
шыгарув,Nogai,выводить выносить вывозить,вынимать доставать,0,val
prievartauti,Lithuanian,насиловать,вымогать,1,val
pataikyti,Lithuanian,попадать,угодить,1,val
